object_description,class_description,s4_category,s4_object,s4_class
Actuation Device,Electric Motor Actuator,E,ACTU,ACTUEM
Actuation Device,Hydraulic Actuator,M,ACTU,ACTUEH
Actuation Device,Pneumatic Actuator,M,ACTU,ACTUEP
Analyser Instrument,Aluminium (Ion) Analyser,I,ANAL,ANALAL
Analyser Instrument,Ammonia (Ion) Analyser,I,ANAL,ANALAM
Analyser Instrument,Chemical Oxygen Demand Analyser,I,ANAL,ANALCD
Analyser Instrument,Chlorine (Ion) Analyser,I,ANAL,ANALCL
Analyser Instrument,Conductivity (in fluid) Analyser,I,ANAL,ANALCO
Analyser Instrument,Density Analyser,I,ANAL,ANALDE
Analyser Instrument,Dissolved Oxygen Analyser,I,ANAL,ANALDO
Analyser Instrument,Flue Gas Emissions Analyser,I,ANAL,ANALFG
Analyser Instrument,Gas Composition Analyser,I,ANAL,ANALGA
Analyser Instrument,Iron (Ion) Analyser,I,ANAL,ANALFE
Analyser Instrument,Lead (Ion) Analyser,I,ANAL,ANALPB
Analyser Instrument,Manganese (Ion) Analyser,I,ANAL,ANALMN
Analyser Instrument,Miscellaneous Analyser Instrument,I,ANAL,ANALMISC
Analyser Instrument,Nitrate (Ion) Analyser,I,ANAL,ANALNO
Analyser Instrument,Oxygen Gas Analyser,I,ANAL,ANALO2
Analyser Instrument,Ozone Gas Analyser,I,ANAL,ANALO3
Analyser Instrument,Particle Count Analyser,I,ANAL,ANALPA
Analyser Instrument,pH (Proportion Hydrogen) Analyser,I,ANAL,ANALPH
Analyser Instrument,Phosphate (Ion) Analyser,I,ANAL,ANALPP
Analyser Instrument,Reduction - Oxidation (REDOX) Analyser,I,ANAL,ANALRO
Analyser Instrument,Suspended and Dry Solids Analyser,I,ANAL,ANALSS
Analyser Instrument,Turbidity in Fluid Analyser,I,ANAL,ANALTB
Analyser Instrument,UV Absorbtion (254) Analyser,I,ANAL,ANALUV
Analyser Instrument,Water Colour Analyser,I,ANAL,ANALWC
Analyser Instrument,Water Hardness Analyser,I,ANAL,ANALHA
Analyser Instrument,Water Pollution Analyser,I,ANAL,ANALPO
Coarse Screen,Bar,M,SCRC,SCRCBA
Controller,CHP Engine Controller,I,CONT,CONTEN
Controller,Dedicated Flow Controller,I,CONT,CONTFL
Controller,Dedicated Temperature Controller,I,CONT,CONTTM
