s4_equi_class,s4_equi_char,pdt_field_name
MCCEPA,IP_RATING,IP Rating
MCCEPA,MCCE_FAULT_RATING_KA,Fault Rating (kA)
MCCEPA,MCCE_NUMBER_OF_WAYS,Number of Ways
MCCEPA,MCCE_NUMBER_OF_PHASE,Number of Phase
MCCEPA,MCCE_RATED_CURRENT_A,Rated Current (A)
MCCEPA,MCCE_SLD_REF_NO,Single Line Drawing Ref Number
MCCEPA,MCCE_RATED_VOLTAGE,Rated Voltage
MCCEPA,MCCE_RATED_VOLTAGE_UNITS,Rated Voltage Units
PUMSMO,INSULATION_CLASS_DEG_C,Insulation class
PUMSMO,IP_RATING,Enclosure Rating
PUMSMO,PUMS_FLOW_LITRES_PER_SEC,Flow (l/s)
PUMSMO,PUMS_IMPELLER_TYPE,Impeller Type
PUMSMO,PUMS_INSTALLED_DESIGN_HEAD_M,Head
PUMSMO,PUMS_LIFTING_TYPE,
PUMSMO,PUMS_MEDIA_TYPE,
PUMSMO,PUMS_OUTLET_SIZE_MM,
PUMSMO,PUMS_RATED_CURRENT_A,Upper Limit Electrical Current
PUMSMO,PUMS_RATED_POWER_KW,Upper Limit Continuous Power Rating
PUMSMO,PUMS_RATED_SPEED_RPM,Upper Limit Rotational Speed
PUMSMO,PUMS_RATED_VOLTAGE,Voltage
PUMSMO,PUMS_RATED_VOLTAGE_UNITS,
VALVRE,VALV_BORE_DIAMETER_MM,Bore Diameter (mm)
VALVAV,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVBA,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVBE,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVBP,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVDC,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVDE,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVDI,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVDR,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVFL,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVFU,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVGA,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVGL,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVMISC,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVMW,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVNE,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVNR,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVPE,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVPG,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVPI,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVPR,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVPV,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVRA,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVSC,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVSF,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVSL,VALV_INLET_SIZE_MM,Bore Diameter (mm)
VALVVI,VALV_INLET_SIZE_MM,Bore Diameter (mm)
PSTNDI,IP_RATING,IP Rating
PSTNDI,PSTN_SIGNAL_TYPE,Output Signal Type
PSTNDI,PSTN_PRESSURE_INSTRUMENT_TYPE,
PSTNDI,PSTN_RANGE_MAX,Range Max
PSTNDI,PSTN_RANGE_MIN,Range Min
PSTNDI,PSTN_RANGE_UNITS,Range Unit
PSTNDI,PSTN_SUPPLY_VOLTAGE,Supply Voltage
PSTNDI,PSTN_SUPPLY_VOLTAGE_UNITS,Supply Voltage Units
STARAT,IP_RATING,IP Rating
STARAT,STAR_NUMBER_OF_PHASE,Number of Phase
STARAT,STAR_RATED_CURRENT_A,Rated Current (A)
STARAT,STAR_RATED_POWER_KW,Rated Power (kW)
STARAT,STAR_RATED_VOLTAGE,Rated Voltage
STARAT,STAR_RATED_VOLTAGE_UNITS,Rated Voltage Units
STARAT,STAR_SLD_REF_NO,Single Line Drawing Ref Number
STARDO,IP_RATING,IP Rating
STARDO,STAR_NUMBER_OF_PHASE,Number of Phase
STARDO,STAR_NUMBER_OF_WAYS,Number of Ways
STARDO,STAR_RATED_CURRENT_A,Rated Current (A)
STARDO,STAR_RATED_POWER_KW,Rated Power (kW)
STARDO,STAR_RATED_VOLTAGE,Rated Voltage
STARDO,STAR_RATED_VOLTAGE_UNITS,Rated Voltage Units
